archivo,hoja,producto,unidad_medida,dia_del_mes,cantidad,total_fila
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,21,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,22,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,23,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,24,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,25,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,26,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,27,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,28,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,29,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN AMARILLO,LIBRAS,30,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,1,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,2,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,3,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,4,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,5,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,6,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,7,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,8,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,9,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,10,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,11,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,12,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,13,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,14,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,15,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,16,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,17,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,18,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,19,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,20,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,21,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,22,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,23,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,24,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,25,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,26,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,27,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,28,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,29,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CALABACIN VERDE,LIBRAS,30,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,1,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,2,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,3,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,4,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,5,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,6,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,7,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,8,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,9,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,10,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,11,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,12,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,13,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,14,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,15,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,16,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,17,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,18,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,19,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,20,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,21,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,22,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,23,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,24,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,25,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,26,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,27,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,28,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,29,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA BLANCA,LIBRAS,30,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,1,,0
